"","clusterID","时代shí_dài","时期shí_jī","纪元jǐ_yuán","年代nián_dài","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,117,48,5,0,34,87,49,0.7179,1.0233,170
"2",2,12,14,0,5,3,21,7,1.0207,0.8259,31
"3",3,0,11,0,0,0,7,4,0,0.6555,11
"4",4,123,131,1,33,80,90,118,0.9896,1.0849,288
