"","clusterID","变化biàn_huā","改变ɡǎi_biàn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,11,0,1,8,2,1,0.570247933884298,11
"2",2,45,2,5,36,6,0.918515165233137,0.614305115436849,47
"3",3,19,0,3,15,1,1,0.650969529085873,19
"4",4,38,6,14,13,17,0.764462809917355,0.337809917355372,44
"5",5,25,118,50,37,56,0.711477333854956,0.342559538363734,143
"6",6,24,18,8,14,20,0.510204081632653,0.374149659863946,42
"7",7,113,81,37,98,59,0.513603996173876,0.384047188861728,194
