"","clusterID","方案fānɡ_àn","计划jì_ɡuǒ","ML","TW","SG","variant_I","lect_I","TotalFreq"
"1",1,1,22,23,0,0,0.916824196597354,1,23
"2",2,0,46,27,3,16,1,0.469754253308129,46
"3",3,3,67,18,13,39,0.91795918367347,0.411020408163265,70
"4",4,28,65,41,26,26,0.579142097352295,0.350676378772112,93
"5",5,7,8,3,6,6,0.502222222222222,0.36,15
"6",6,67,186,124,58,71,0.610617256948242,0.371525879173241,253
