"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"－"	0	0	1	0.035	0.03	0.935	-0.015	-0.013	0.029	0.057	"3"
"--"	0	0	16	0.558	0.476	14.966	-0.246	-0.21	0.464	0.92	"3"
"－－"	0	0	1	0.035	0.03	0.935	-0.015	-0.013	0.029	0.057	"3"
"－－世纪"	0	0	1	0.035	0.03	0.935	-0.015	-0.013	0.029	0.057	"3"
"－－五"	1	0	0	0.035	0.03	0.935	1.458	-0.013	-1.19	2.661	"1"
"﹑"	0	0	4	0.139	0.119	3.742	-0.062	-0.052	0.116	0.23	"3"
"（"	0	0	10	0.348	0.298	9.354	-0.154	-0.131	0.29	0.575	"3"
"）"	0	0	8	0.279	0.238	7.483	-0.123	-0.105	0.232	0.46	"3"
"〔"	0	0	1	0.035	0.03	0.935	-0.015	-0.013	0.029	0.057	"3"
"0.9"	0	0	2	0.07	0.06	1.871	-0.031	-0.026	0.058	0.115	"3"
"00"	0	0	1	0.035	0.03	0.935	-0.015	-0.013	0.029	0.057	"3"
"1.7"	0	0	1	0.035	0.03	0.935	-0.015	-0.013	0.029	0.057	"3"
"101"	0	0	1	0.035	0.03	0.935	-0.015	-0.013	0.029	0.057	"3"
"10多"	0	0	1	0.035	0.03	0.935	-0.015	-0.013	0.029	0.057	"3"
"112亿"	0	1	0	0.035	0.03	0.935	-0.015	1.526	-1.19	2.731	"2"
"11时"	0	0	2	0.07	0.06	1.871	-0.031	-0.026	0.058	0.115	"3"
"120多"	0	0	1	0.035	0.03	0.935	-0.015	-0.013	0.029	0.057	"3"
"12巷"	0	0	1	0.035	0.03	0.935	-0.015	-0.013	0.029	0.057	"3"
"12日"	1	0	0	0.035	0.03	0.935	1.458	-0.013	-1.19	2.661	"1"
"12月"	0	0	3	0.105	0.089	2.806	-0.046	-0.039	0.087	0.172	"3"
"1362万"	0	0	1	0.035	0.03	0.935	-0.015	-0.013	0.029	0.057	"3"
"1670万"	0	0	1	0.035	0.03	0.935	-0.015	-0.013	0.029	0.057	"3"
"18.27"	0	0	1	0.035	0.03	0.935	-0.015	-0.013	0.029	0.057	"3"
"1987年"	0	0	1	0.035	0.03	0.935	-0.015	-0.013	0.029	0.057	"3"
"1992年"	0	0	1	0.035	0.03	0.935	-0.015	-0.013	0.029	0.057	"3"
"1万多"	0	0	1	0.035	0.03	0.935	-0.015	-0.013	0.029	0.057	"3"
