"","clusterID","行为hánɡ_wéi","表现biǎo_xiàn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,44,0,17,18,9,1,0.358471074380165,44
"2",2,15,0,1,5,9,1,0.475555555555556,15
"3",3,121,1,39,47,36,0.983740929857565,0.337678043536684,122
"4",4,0,38,16,0,22,1,0.512465373961219,38
"5",5,59,40,24,26,49,0.518416488113458,0.372717069686767,99
"6",6,7,95,26,15,61,0.872164552095348,0.444252210688197,102
"7",7,0,13,6,2,5,1,0.384615384615385,13
"8",8,0,9,0,2,7,1,0.654320987654321,9
"9",9,0,58,16,7,35,1,0.454815695600476,58
