"","住宅zhù_chè","大厦dà_shà","大楼dà_lóu","高楼ɡāo_lóu","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"cluster1",7,77,9,0,9,9,75,0.577,0.6255,93
"cluster2",2,1,9,0,7,2,3,0.7215,0.9596,12
"cluster3",37,74,84,15,81,57,72,1.2285,1.0884,210
"cluster4",21,20,27,4,14,27,31,1.2436,1.0491,72
"cluster5",64,2,1,3,17,35,18,0.3792,1.0395,70
"cluster6",0,1,19,0,2,14,4,0.1985,0.8018,20
"cluster7",0,0,23,0,22,1,0,0,0.1788,23
