"","clusterID","设施shè_shī","设备shè_bèi","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,73,0,1,57,15,0,0.5771,73
"2",2,205,222,122,203,102,0.6924,1.0535,427
