"","clusterID","过程ɡuō_chénɡ","手续shǒu_xù","程序chénɡ_xù","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,136,0,0,37,65,34,1,0.364943771626298,136
"2",2,18,0,0,5,4,9,1,0.376543209876543,18
"3",3,107,5,17,39,41,49,0.706868577609519,0.3366985157142,129
"4",4,0,17,5,7,7,8,0.648760330578512,0.334710743801653,22
"5",5,12,26,81,46,34,39,0.521220252807005,0.338464797683779,119
"6",6,22,0,54,49,12,15,0.588642659279778,0.479570637119114,76
