"","clusterID","路线lù_xiàn","轨道ɡuǐ_dǎo","道路dǎo_lù","路途lù_tú","途径tú_jìnɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,5,21,0,0,7,17,3,0.6298,0.8854,27
"2",2,53,44,113,1,3,76,83,55,1.093,1.0842,214
"3",3,14,0,18,1,0,4,15,14,0.8003,0.9779,33
"4",4,0,0,0,0,24,5,15,4,0,0.9192,24
"5",5,35,16,72,3,76,51,101,50,1.3026,1.0397,202
