"","clusterID","品质pǐn_zhì","素质sù_zhì","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,16,36,11,26,15,0.57396449704142,0.377958579881657,52
"2",2,4,93,5,76,16,0.920926772239345,0.64374535019662,97
"3",3,46,77,41,44,38,0.531760195650737,0.334523101328574,123
"4",4,126,35,86,24,51,0.659735349716446,0.407893213996374,161
"5",5,18,6,19,1,4,0.625,0.65625,24
"6",6,25,18,18,3,22,0.513250405624662,0.441860465116279,43
