"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"﹐"	2	0	0	0	1	0.801	0.079	0.552	0.469	1.099	0.755	-0.035	-0.265	-0.221	-0.158	1.434	"1"
"﹑"	0	0	0	0	2	0.534	0.053	0.368	0.313	0.733	-0.27	-0.023	-0.177	-0.148	0.872	1.49	"5"
";"	1	0	0	0	9	2.67	0.264	1.84	1.563	3.663	-0.682	-0.116	-0.883	-0.738	3.099	5.518	"5"
"／"	0	0	0	1	0	0.267	0.026	0.184	0.156	0.366	-0.135	-0.012	-0.088	0.806	-0.198	1.239	"4"
"1970年"	0	0	0	1	0	0.267	0.026	0.184	0.156	0.366	-0.135	-0.012	-0.088	0.806	-0.198	1.239	"4"
"1万4000"	1	0	0	0	0	0.267	0.026	0.184	0.156	0.366	0.573	-0.012	-0.088	-0.074	-0.198	0.945	"1"
"57"	0	0	0	0	1	0.267	0.026	0.184	0.156	0.366	-0.135	-0.012	-0.088	-0.074	0.436	0.745	"5"
"891129"	0	0	0	0	1	0.267	0.026	0.184	0.156	0.366	-0.135	-0.012	-0.088	-0.074	0.436	0.745	"5"
"900118"	0	0	0	0	1	0.267	0.026	0.184	0.156	0.366	-0.135	-0.012	-0.088	-0.074	0.436	0.745	"5"
"90多"	0	0	0	1	0	0.267	0.026	0.184	0.156	0.366	-0.135	-0.012	-0.088	0.806	-0.198	1.239	"4"
"ABAC"	0	0	0	1	0	0.267	0.026	0.184	0.156	0.366	-0.135	-0.012	-0.088	0.806	-0.198	1.239	"4"
"DDR"	0	0	1	0	0	0.267	0.026	0.184	0.156	0.366	-0.135	-0.012	0.735	-0.074	-0.198	1.154	"3"
"plebiscite"	1	0	0	0	0	0.267	0.026	0.184	0.156	0.366	0.573	-0.012	-0.088	-0.074	-0.198	0.945	"1"
"Roberto"	0	0	0	0	1	0.267	0.026	0.184	0.156	0.366	-0.135	-0.012	-0.088	-0.074	0.436	0.745	"5"
"TO"	0	0	0	1	0	0.267	0.026	0.184	0.156	0.366	-0.135	-0.012	-0.088	0.806	-0.198	1.239	"4"
"TSIA"	0	0	1	0	0	0.267	0.026	0.184	0.156	0.366	-0.135	-0.012	0.735	-0.074	-0.198	1.154	"3"
"WHA"	0	0	0	5	0	1.335	0.132	0.92	0.782	1.831	-0.675	-0.058	-0.442	4.03	-0.99	6.195	"4"
"WHO"	0	0	0	1	0	0.267	0.026	0.184	0.156	0.366	-0.135	-0.012	-0.088	0.806	-0.198	1.239	"4"
"WTO"	0	0	0	1	0	0.267	0.026	0.184	0.156	0.366	-0.135	-0.012	-0.088	0.806	-0.198	1.239	"4"
"X"	1	0	0	0	0	0.267	0.026	0.184	0.156	0.366	0.573	-0.012	-0.088	-0.074	-0.198	0.945	"1"
"一世纪"	0	0	1	0	0	0.267	0.026	0.184	0.156	0.366	-0.135	-0.012	0.735	-0.074	-0.198	1.154	"3"
"一併"	0	0	0	0	1	0.267	0.026	0.184	0.156	0.366	-0.135	-0.012	-0.088	-0.074	0.436	0.745	"5"
"一切"	0	0	0	0	1	0.267	0.026	0.184	0.156	0.366	-0.135	-0.012	-0.088	-0.074	0.436	0.745	"5"
"一向"	0	1	0	0	1	0.534	0.053	0.368	0.313	0.733	-0.27	1.283	-0.177	-0.148	0.223	2.101	"2"
"一哥"	1	0	0	0	0	0.267	0.026	0.184	0.156	0.366	0.573	-0.012	-0.088	-0.074	-0.198	0.945	"1"
"一直"	0	2	1	0	1	1.068	0.106	0.736	0.625	1.465	-0.54	2.394	0.254	-0.295	-0.272	3.755	"2"
"一等"	0	0	1	0	0	0.267	0.026	0.184	0.156	0.366	-0.135	-0.012	0.735	-0.074	-0.198	1.154	"3"
"万豪大"	1	0	0	0	0	0.267	0.026	0.184	0.156	0.366	0.573	-0.012	-0.088	-0.074	-0.198	0.945	"1"
