"","clusterID","东西dōnɡ_xī","原料yuán_liáo","成份chénɡ_bīn","成分chénɡ_bàn","材料cái_liáo","物质wù_zhì","物资wù_zī","原材料yuán_cái_liáo","用料yòng_liáo","物料wù_liáo","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,95,1,1,4,1,3,1,0,0,0,16,15,75,0.8058,0.5434,106
"2",2,29,9,15,5,43,26,63,3,7,0,28,120,52,0.1931,0.4472,200
"3",3,0,5,8,28,1,24,0,0,0,0,17,31,18,0.3329,0.3613,66
"4",4,0,25,2,3,62,11,8,14,2,1,20,92,16,0.2971,0.5566,128
