"","clusterID","境遇jìnɡ_ǒu","境况jìnɡ_kuànɡ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,11,0,11,0,0,1,1,11
"2",2,5,1,1,2,3,0.722222222222222,0.388888888888889,6
"3",3,53,57,17,45,48,0.500661157024793,0.381652892561983,110
