"","clusterID","不幸bú_niè","不测bú_cè","事故shì_ɡù","意外yī_wài","灾祸zāi_huò","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,26,3,7,71,2,34,22,53,0.9697,1.037,109
"2",2,5,0,213,43,0,61,154,46,0.5387,0.957,261
"3",3,3,0,43,14,0,12,37,11,0.7281,0.931,60
"4",4,2,0,33,35,0,22,20,28,0.8027,1.0882,70
