"","clusterID","体育bèn_yō","运动yǔn_dònɡ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,95,0,2,93,0,1,0.9588,95
"2",2,22,115,35,46,56,0.7304,0.3451,137
"3",3,194,74,57,160,51,0.6002,0.4379,268
