"","clusterID","单位chán_lì","机构jī_ɡòu","机关jī_ɡuān","部门bù_mén","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,14,2,0,0,8,2,6,0.3768,0.9743,16
"2",2,70,74,54,109,72,203,32,1.3534,0.8493,307
"3",3,0,23,0,0,14,9,0,0,0.6693,23
"4",4,58,62,15,19,46,62,46,1.2191,1.0881,154
