"","clusterID","报导bào_dǎo","新闻xīn_wén","消息xiāo_xī","情报qíng_bào","讯息xùn_xī","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,3,65,12,0,0,7,73,0,0.6841,0.8403,80
"2",2,12,64,7,0,0,31,33,19,0.6226,0.35,83
"3",3,67,11,66,31,6,101,32,48,0.3041,0.413,181
"4",4,11,85,48,7,5,71,32,53,0.3996,0.3646,156
