"","clusterID","模式mó_shì","样式yánɡ_shì","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,9,0,9,0,0,1,1,9
"2",2,68,0,35,17,16,1,0.382785467128028,68
"3",3,148,13,55,52,54,0.851548937155202,0.333513367539833,161
"4",4,24,1,7,13,5,0.9232,0.3888,25
"5",5,117,0,33,58,26,1,0.374680400321426,117
"6",6,18,0,7,5,6,1,0.339506172839506,18
"7",7,102,0,10,85,7,1,0.708765859284891,102
