"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"SumAbsDev"	"LargestDev"
"--"	0	0	0	0	0	0	0	2	0.141	0.16	0.61	0.078	0.354	0.047	0.226	0.385	-0.063	-0.072	-0.316	-0.034	-0.169	-0.021	-0.104	1.431	2.21	"8"
"﹐"	0	0	3	0	0	0	0	0	0.211	0.24	0.915	0.117	0.53	0.07	0.339	0.578	-0.095	-0.109	1.547	-0.052	-0.253	-0.031	-0.156	-0.279	2.522	"3"
"︰"	0	0	1	0	0	0	0	0	0.07	0.08	0.305	0.039	0.177	0.023	0.113	0.193	-0.032	-0.036	0.516	-0.017	-0.084	-0.01	-0.052	-0.093	0.84	"3"
"1000多"	1	0	0	0	0	0	0	1	0.141	0.16	0.61	0.078	0.354	0.047	0.226	0.385	0.868	-0.072	-0.316	-0.034	-0.169	-0.021	-0.104	0.458	2.042	"1"
"10年"	0	0	0	0	0	0	0	1	0.07	0.08	0.305	0.039	0.177	0.023	0.113	0.193	-0.032	-0.036	-0.158	-0.017	-0.084	-0.01	-0.052	0.715	1.104	"8"
"1100多"	0	0	0	0	0	0	0	1	0.07	0.08	0.305	0.039	0.177	0.023	0.113	0.193	-0.032	-0.036	-0.158	-0.017	-0.084	-0.01	-0.052	0.715	1.104	"8"
"1195"	0	0	1	0	0	0	0	0	0.07	0.08	0.305	0.039	0.177	0.023	0.113	0.193	-0.032	-0.036	0.516	-0.017	-0.084	-0.01	-0.052	-0.093	0.84	"3"
"150"	0	0	0	0	0	0	0	1	0.07	0.08	0.305	0.039	0.177	0.023	0.113	0.193	-0.032	-0.036	-0.158	-0.017	-0.084	-0.01	-0.052	0.715	1.104	"8"
"166"	0	0	0	0	0	0	1	0	0.07	0.08	0.305	0.039	0.177	0.023	0.113	0.193	-0.032	-0.036	-0.158	-0.017	-0.084	-0.01	0.947	-0.093	1.377	"7"
"1996年"	0	0	0	0	2	0	0	1	0.211	0.24	0.915	0.117	0.53	0.07	0.339	0.578	-0.095	-0.109	-0.474	-0.052	1.082	-0.031	-0.156	0.324	2.323	"5"
"1998年"	0	0	0	1	0	0	0	1	0.141	0.16	0.61	0.078	0.354	0.047	0.226	0.385	-0.063	-0.072	-0.316	1.117	-0.169	-0.021	-0.104	0.458	2.32	"4"
"1万"	0	0	1	0	0	0	0	0	0.07	0.08	0.305	0.039	0.177	0.023	0.113	0.193	-0.032	-0.036	0.516	-0.017	-0.084	-0.01	-0.052	-0.093	0.84	"3"
"220"	0	0	0	0	0	0	0	1	0.07	0.08	0.305	0.039	0.177	0.023	0.113	0.193	-0.032	-0.036	-0.158	-0.017	-0.084	-0.01	-0.052	0.715	1.104	"8"
"30年"	0	0	0	0	0	1	0	0	0.07	0.08	0.305	0.039	0.177	0.023	0.113	0.193	-0.032	-0.036	-0.158	-0.017	-0.084	1.63	-0.052	-0.093	2.102	"6"
"480"	0	0	0	0	0	0	0	1	0.07	0.08	0.305	0.039	0.177	0.023	0.113	0.193	-0.032	-0.036	-0.158	-0.017	-0.084	-0.01	-0.052	0.715	1.104	"8"
"5842"	0	0	1	0	0	0	0	0	0.07	0.08	0.305	0.039	0.177	0.023	0.113	0.193	-0.032	-0.036	0.516	-0.017	-0.084	-0.01	-0.052	-0.093	0.84	"3"
"6月"	0	0	0	0	1	0	0	5	0.422	0.48	1.83	0.234	1.061	0.141	0.678	1.156	-0.19	-0.217	-0.948	-0.103	-0.147	-0.062	-0.313	2.874	4.854	"8"
"7088"	0	0	1	0	0	0	0	0	0.07	0.08	0.305	0.039	0.177	0.023	0.113	0.193	-0.032	-0.036	0.516	-0.017	-0.084	-0.01	-0.052	-0.093	0.84	"3"
"81"	0	0	1	0	0	0	0	0	0.07	0.08	0.305	0.039	0.177	0.023	0.113	0.193	-0.032	-0.036	0.516	-0.017	-0.084	-0.01	-0.052	-0.093	0.84	"3"
"891205"	0	0	1	0	0	0	0	0	0.07	0.08	0.305	0.039	0.177	0.023	0.113	0.193	-0.032	-0.036	0.516	-0.017	-0.084	-0.01	-0.052	-0.093	0.84	"3"
"891219"	0	0	1	0	0	0	0	0	0.07	0.08	0.305	0.039	0.177	0.023	0.113	0.193	-0.032	-0.036	0.516	-0.017	-0.084	-0.01	-0.052	-0.093	0.84	"3"
"900127"	0	0	1	0	0	0	0	0	0.07	0.08	0.305	0.039	0.177	0.023	0.113	0.193	-0.032	-0.036	0.516	-0.017	-0.084	-0.01	-0.052	-0.093	0.84	"3"
"99％"	0	0	0	0	0	0	1	0	0.07	0.08	0.305	0.039	0.177	0.023	0.113	0.193	-0.032	-0.036	-0.158	-0.017	-0.084	-0.01	0.947	-0.093	1.377	"7"
