"","clusterID","领导lǐnɡ_dǎo","领导人lǐnɡ_dǎo_rén","领袖lǐnɡ_xiù","头目tóu_mù","首脑shǒu_nǎo","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,14,0,0,0,0,1,11,2,0,0.656,14
"2",2,73,0,0,0,0,1,60,12,0,0.5168,73
"3",3,13,0,0,0,0,3,4,6,0,1.0579,13
"4",4,6,22,40,0,0,30,14,24,0.8914,1.054,68
"5",5,76,44,35,1,2,38,60,60,1.1293,1.0781,158
"6",6,6,26,21,5,8,13,30,23,1.4006,1.0458,66
"7",7,0,8,12,0,25,10,33,2,0.9861,0.7001,45
"8",8,1,40,9,0,13,13,37,13,0.9578,0.9639,63
