"","clusterID","公路ɡōnɡ_lù","道路dǎo_lù","街路jiē_lù","街道jiē_dǎo","路径lù_jìnɡ","路线lù_xiàn","马路mǎ_lù","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,81,1,0,0,0,0,0,5,61,16,0.9759,0.5952,82
"2",2,124,78,1,40,2,39,23,75,142,90,0.2665,0.3596,307
"3",3,15,50,0,2,2,41,1,30,49,32,0.3583,0.351,111
