"","clusterID","奖金jiǎnɡ_jīn","奖品jiǎnɡ_pǐn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,54,0,53,1,0,1,0.963648834019204,54
"2",2,74,14,26,6,56,0.732438016528926,0.496900826446281,88
"3",3,116,6,50,41,31,0.906476753560871,0.345471647406611,122
"4",4,0,16,4,0,12,1,0.625,16
"5",5,26,42,20,4,44,0.527681660899654,0.508650519031142,68
"6",6,92,5,64,14,19,0.902221277500266,0.494526517164417,97
"7",7,21,2,10,5,8,0.841209829867675,0.357277882797732,23
"8",8,30,2,23,6,3,0.8828125,0.560546875,32
