"","clusterID","时代shí_dài","时期shí_jī","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,22,0,4,3,15,0,0.8428,22
"2",2,16,18,5,24,5,0.6914,0.8097,34
"3",3,86,81,48,61,58,0.6927,1.0935,167
"4",4,0,18,0,17,1,0,0.2146,18
"5",5,23,32,12,35,8,0.6797,0.9002,55
"6",6,0,14,0,7,7,0,0.6931,14
"7",7,81,30,46,27,38,0.5835,1.0759,111
"8",8,0,11,2,1,8,0,0.7595,11
"9",9,32,36,11,28,29,0.6914,1.0235,68
