"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"﹐"	0	0	0	1	0.451	0.068	0.278	0.203	-0.26	-0.031	-0.141	0.693	1.125	"4"
"﹑"	0	0	1	0	0.451	0.068	0.278	0.203	-0.26	-0.031	0.556	-0.099	0.946	"3"
"！"	0	1	1	0	0.902	0.136	0.556	0.406	-0.521	0.88	0.32	-0.197	1.918	"2"
"100多"	1	0	0	0	0.451	0.068	0.278	0.203	0.346	-0.031	-0.141	-0.099	0.617	"1"
"11日"	0	0	0	1	0.451	0.068	0.278	0.203	-0.26	-0.031	-0.141	0.693	1.125	"4"
"120万"	1	0	0	0	0.451	0.068	0.278	0.203	0.346	-0.031	-0.141	-0.099	0.617	"1"
"1800年"	0	1	0	0	0.451	0.068	0.278	0.203	-0.26	1.166	-0.141	-0.099	1.666	"2"
"1983年"	0	0	0	1	0.451	0.068	0.278	0.203	-0.26	-0.031	-0.141	0.693	1.125	"4"
"1994年"	1	1	0	0	0.902	0.136	0.556	0.406	0.156	0.88	-0.283	-0.197	1.516	"2"
"1万5000"	0	1	0	0	0.451	0.068	0.278	0.203	-0.26	1.166	-0.141	-0.099	1.666	"2"
"20多万"	1	0	0	0	0.451	0.068	0.278	0.203	0.346	-0.031	-0.141	-0.099	0.617	"1"
"28日"	2	0	0	1	1.352	0.205	0.834	0.609	0.37	-0.092	-0.424	0.307	1.193	"3"
"30多"	1	0	0	0	0.451	0.068	0.278	0.203	0.346	-0.031	-0.141	-0.099	0.617	"1"
"50多万"	1	0	0	0	0.451	0.068	0.278	0.203	0.346	-0.031	-0.141	-0.099	0.617	"1"
"5566"	0	0	1	0	0.451	0.068	0.278	0.203	-0.26	-0.031	0.556	-0.099	0.946	"3"
"5万多"	1	0	0	0	0.451	0.068	0.278	0.203	0.346	-0.031	-0.141	-0.099	0.617	"1"
"80多"	1	0	0	0	0.451	0.068	0.278	0.203	0.346	-0.031	-0.141	-0.099	0.617	"1"
"891005"	1	0	0	0	0.451	0.068	0.278	0.203	0.346	-0.031	-0.141	-0.099	0.617	"1"
"891006"	1	0	0	0	0.451	0.068	0.278	0.203	0.346	-0.031	-0.141	-0.099	0.617	"1"
"891013"	1	0	0	0	0.451	0.068	0.278	0.203	0.346	-0.031	-0.141	-0.099	0.617	"1"
"891102"	1	0	0	0	0.451	0.068	0.278	0.203	0.346	-0.031	-0.141	-0.099	0.617	"1"
"891205"	1	0	0	0	0.451	0.068	0.278	0.203	0.346	-0.031	-0.141	-0.099	0.617	"1"
"9月"	3	0	0	0	1.352	0.205	0.834	0.609	1.038	-0.092	-0.424	-0.296	1.85	"1"
"ENERGY"	0	0	1	0	0.451	0.068	0.278	0.203	-0.26	-0.031	0.556	-0.099	0.946	"3"
"SING"	0	0	1	0	0.451	0.068	0.278	0.203	-0.26	-0.031	0.556	-0.099	0.946	"3"
"WTO"	0	0	0	1	0.451	0.068	0.278	0.203	-0.26	-0.031	-0.141	0.693	1.125	"4"
"一九九五年"	0	0	1	0	0.451	0.068	0.278	0.203	-0.26	-0.031	0.556	-0.099	0.946	"3"
"一些"	0	0	1	4	2.254	0.341	1.39	1.015	-1.301	-0.153	-0.241	2.148	3.843	"4"
"一切"	0	0	0	1	0.451	0.068	0.278	0.203	-0.26	-0.031	-0.141	0.693	1.125	"4"
"一千四百多"	0	0	1	0	0.451	0.068	0.278	0.203	-0.26	-0.031	0.556	-0.099	0.946	"3"
"一度"	0	0	0	1	0.451	0.068	0.278	0.203	-0.26	-0.031	-0.141	0.693	1.125	"4"
"一波又起"	0	0	1	0	0.451	0.068	0.278	0.203	-0.26	-0.031	0.556	-0.099	0.946	"3"
"一波未平"	0	0	1	0	0.451	0.068	0.278	0.203	-0.26	-0.031	0.556	-0.099	0.946	"3"
"一直"	0	0	1	0	0.451	0.068	0.278	0.203	-0.26	-0.031	0.556	-0.099	0.946	"3"
"一贯"	0	0	0	1	0.451	0.068	0.278	0.203	-0.26	-0.031	-0.141	0.693	1.125	"4"
"一起"	0	0	3	0	1.352	0.205	0.834	0.609	-0.781	-0.092	1.668	-0.296	2.837	"3"
"七十多"	1	0	0	0	0.451	0.068	0.278	0.203	0.346	-0.031	-0.141	-0.099	0.617	"1"
