"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"摊贩"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"撮合"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"操作"	0	0	1	2	0.694	0.533	0.67	1.103	-0.343	-0.255	0.274	0.514	1.386	"4"
"操纵"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"支付"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"收市"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"收盘"	0	2	0	0	0.463	0.355	0.447	0.735	-0.228	1.501	-0.22	-0.398	2.347	"2"
"收盘价"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"收购"	0	0	1	1	0.463	0.355	0.447	0.735	-0.228	-0.17	0.401	0.222	1.021	"3"
"改善"	2	0	0	0	0.463	0.355	0.447	0.735	1.272	-0.17	-0.22	-0.398	2.06	"1"
"放下"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"效率"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"敢"	2	0	0	0	0.463	0.355	0.447	0.735	1.272	-0.17	-0.22	-0.398	2.06	"1"
"散户"	0	2	0	0	0.463	0.355	0.447	0.735	-0.228	1.501	-0.22	-0.398	2.347	"2"
"散股"	0	0	1	2	0.694	0.533	0.67	1.103	-0.343	-0.255	0.274	0.514	1.386	"4"
"数量"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"文久"	0	0	2	0	0.463	0.355	0.447	0.735	-0.228	-0.17	1.302	-0.398	2.098	"3"
"斗减"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"斯达克"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"新华"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"新年"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"新版"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"新股"	0	2	1	0	0.694	0.533	0.67	1.103	-0.343	1.078	0.274	-0.597	2.292	"2"
"新草岭潭"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"新高"	0	2	0	0	0.463	0.355	0.447	0.735	-0.228	1.501	-0.22	-0.398	2.347	"2"
"方便"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"方式"	0	0	5	1	1.388	1.066	1.341	2.206	-0.685	-0.51	2.565	-0.542	4.302	"3"
"施颜"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"旅客"	3	0	0	0	0.694	0.533	0.67	1.103	1.908	-0.255	-0.33	-0.597	3.09	"1"
"旅行社"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"无效"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"无稽之谈"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"日"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"日后"	1	0	1	0	0.463	0.355	0.447	0.735	0.388	-0.17	0.401	-0.398	1.357	"3"
"日圆"	0	4	0	0	0.925	0.711	0.894	1.47	-0.457	3.002	-0.439	-0.796	4.694	"2"
"日复一日"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"旧书"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"旧机动车"	0	2	0	0	0.463	0.355	0.447	0.735	-0.228	1.501	-0.22	-0.398	2.347	"2"
"早"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"早盘"	0	2	0	0	0.463	0.355	0.447	0.735	-0.228	1.501	-0.22	-0.398	2.347	"2"
"时候"	2	0	0	0	0.463	0.355	0.447	0.735	1.272	-0.17	-0.22	-0.398	2.06	"1"
"时差"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"时段"	1	1	0	0	0.463	0.355	0.447	0.735	0.388	0.49	-0.22	-0.398	1.496	"2"
"时间"	0	0	3	6	2.082	1.599	2.011	3.308	-1.028	-0.765	0.488	1.171	3.452	"4"
"时间案"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"旺热"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"昆明"	0	0	1	1	0.463	0.355	0.447	0.735	-0.228	-0.17	0.401	0.222	1.021	"3"
"明显"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"昨天"	0	6	2	1	2.082	1.599	2.011	3.308	-1.028	2.793	-0.171	-0.996	4.988	"2"
"是否"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"显著"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"晤谈"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"普"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"普遍"	0	2	0	0	0.463	0.355	0.447	0.735	-0.228	1.501	-0.22	-0.398	2.347	"2"
"景气"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"暂停"	0	0	5	0	1.156	0.888	1.117	1.838	-0.571	-0.425	3.254	-0.995	5.245	"3"
"暂缓"	0	0	0	2	0.463	0.355	0.447	0.735	-0.228	-0.17	-0.22	0.869	1.487	"4"
"暨"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"更名为"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"更多"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
