"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"SumAbsDev"	"LargestDev"
"SOLAS"	0	0	0	0	1	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	-0.156	1.591	-0.027	-0.037	-0.085	2.062	"5"
"一审"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"一旦"	0	0	3	0	0	0	0	0	0.247	0.601	0.21	0.904	0.077	0.179	0.248	0.533	-0.112	-0.291	3.465	-0.467	-0.034	-0.08	-0.112	-0.255	4.816	"3"
"一百万"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"七月"	0	0	0	0	0	0	0	1	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	-0.156	-0.011	-0.027	-0.037	0.75	1.147	"8"
"三十六"	0	1	0	0	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	0.698	-0.032	-0.156	-0.011	-0.027	-0.037	-0.085	1.083	"2"
"三读"	0	2	0	1	0	0	0	0	0.247	0.601	0.21	0.904	0.077	0.179	0.248	0.533	-0.112	0.982	-0.095	0.181	-0.034	-0.08	-0.112	-0.255	1.851	"2"
"三读通过"	0	2	0	1	0	1	0	0	0.33	0.801	0.28	1.206	0.103	0.239	0.331	0.711	-0.149	0.741	-0.126	-0.188	-0.045	0.661	-0.15	-0.34	2.4	"2"
"三零二"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"上市"	0	0	0	3	0	0	0	0	0.247	0.601	0.21	0.904	0.077	0.179	0.248	0.533	-0.112	-0.291	-0.095	1.562	-0.034	-0.08	-0.112	-0.255	2.541	"4"
"上海市"	1	0	0	0	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	1.084	-0.097	-0.032	-0.156	-0.011	-0.027	-0.037	-0.085	1.529	"1"
"上诉"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"上限"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
