"","clusterID","领导lǐnɡ_dǎo","头目tóu_mù","领导人lǐnɡ_dǎo_rén","领袖lǐnɡ_xiù","首脑shǒu_nǎo","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,87,0,0,0,0,2,71,14,1,0.6924,87
"2",2,95,1,66,75,2,71,78,90,0.3328,0.3366,239
"3",3,7,5,74,42,46,36,100,38,0.3115,0.4208,174
