"","clusterID","行为hánɡ_wéi","表现biǎo_xiàn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,44,0,17,18,9,0,1.0577,44
"2",2,15,0,1,5,9,0,0.8532,15
"3",3,121,1,39,47,36,0.0475,1.0922,122
"4",4,0,38,16,0,22,0,0.6806,38
"5",5,59,40,24,26,49,0.6746,1.0428,99
"6",6,7,95,26,15,61,0.2501,0.9378,102
"7",7,0,13,6,2,5,0,1.0123,13
"8",8,0,9,0,2,7,0,0.5297,9
"9",9,0,58,16,7,35,0,0.9153,58
