"","clusterID","变化biàn_huā","改变ɡǎi_biàn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,56,1,5,46,6,0.0883,0.6235,57
"2",2,38,3,6,31,4,0.2618,0.7197,41
"3",3,16,0,3,9,4,0,0.9841,16
"4",4,6,21,9,7,11,0.5297,1.082,27
"5",5,17,118,44,38,53,0.3786,1.0893,135
"6",6,20,0,3,9,8,0,1.0104,20
"7",7,16,27,11,13,19,0.6601,1.0713,43
"8",8,127,34,44,70,47,0.5155,1.0761,161
