"","clusterID","权力quán_lì","公职ɡōnɡ_zhí","职务zhí_wù","官职ɡuān_zhí","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,56,0,0,0,2,52,2,0,0.3068,56
"2",2,1,1,24,0,5,20,1,0.3245,0.6442,26
"3",3,33,0,40,1,33,31,10,0.7508,0.9951,74
"4",4,137,6,12,3,54,24,80,0.5189,0.9978,158
"5",5,0,2,26,0,12,12,4,0.2573,1.0042,28
"6",6,0,3,27,0,7,20,3,0.3251,0.8401,30
"7",7,0,2,45,0,18,20,9,0.176,1.0477,47
"8",8,22,4,55,0,34,27,20,0.7654,1.0759,81
