"","clusterID","日子rì_zǐ","日期rì_jī","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,96,20,22,32,62,0.4597,1.0054,116
"2",2,22,0,0,0,22,0,0,22
"3",3,127,0,8,31,88,0,0.7726,127
"4",4,0,51,11,9,31,0,0.9396,51
"5",5,0,68,0,0,68,0,0,68
"6",6,1,115,48,26,42,0.0496,1.0682,116
