"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"﹐"	2	0	0	0.693	0.503	0.804	0.92	-0.251	-0.447	1.618	"1"
"("	0	0	1	0.347	0.251	0.402	-0.185	-0.126	0.396	0.707	"3"
"〕"	0	1	0	0.347	0.251	0.402	-0.185	0.6	-0.223	1.008	"2"
"10"	0	0	2	0.693	0.503	0.804	-0.37	-0.251	0.791	1.412	"3"
"10.4"	1	0	0	0.347	0.251	0.402	0.46	-0.126	-0.223	0.809	"1"
"10余"	1	0	0	0.347	0.251	0.402	0.46	-0.126	-0.223	0.809	"1"
"11.21"	1	0	0	0.347	0.251	0.402	0.46	-0.126	-0.223	0.809	"1"
"134692"	1	0	0	0.347	0.251	0.402	0.46	-0.126	-0.223	0.809	"1"
"139.6"	1	0	0	0.347	0.251	0.402	0.46	-0.126	-0.223	0.809	"1"
"14.6"	1	0	0	0.347	0.251	0.402	0.46	-0.126	-0.223	0.809	"1"
"1481"	1	0	0	0.347	0.251	0.402	0.46	-0.126	-0.223	0.809	"1"
"158"	1	0	0	0.347	0.251	0.402	0.46	-0.126	-0.223	0.809	"1"
"159"	1	0	0	0.347	0.251	0.402	0.46	-0.126	-0.223	0.809	"1"
"1600"	2	0	0	0.693	0.503	0.804	0.92	-0.251	-0.447	1.618	"1"
"16408"	1	0	0	0.347	0.251	0.402	0.46	-0.126	-0.223	0.809	"1"
"17.9"	1	0	0	0.347	0.251	0.402	0.46	-0.126	-0.223	0.809	"1"
"18万多"	1	0	0	0.347	0.251	0.402	0.46	-0.126	-0.223	0.809	"1"
"2.1"	1	0	2	1.04	0.754	1.206	-0.141	-0.377	0.45	0.968	"3"
"2.62"	1	0	0	0.347	0.251	0.402	0.46	-0.126	-0.223	0.809	"1"
"200余"	1	0	0	0.347	0.251	0.402	0.46	-0.126	-0.223	0.809	"1"
"2238"	1	0	0	0.347	0.251	0.402	0.46	-0.126	-0.223	0.809	"1"
"2300"	0	1	0	0.347	0.251	0.402	-0.185	0.6	-0.223	1.008	"2"
"2万多"	1	0	0	0.347	0.251	0.402	0.46	-0.126	-0.223	0.809	"1"
"300余"	1	0	0	0.347	0.251	0.402	0.46	-0.126	-0.223	0.809	"1"
