"","clusterID","指挥zhī_huī","领队lǐnɡ_duì","导演dǎo_yǎn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,17,0,0,17,0,0,1,1,17
"2",2,48,0,0,19,19,10,1,0.356770833333333,48
"3",3,90,0,0,18,64,8,1,0.55358024691358,90
"4",4,0,115,0,4,10,101,1,0.780113421550095,115
"5",5,0,2,138,64,9,67,0.971836734693878,0.442142857142857,140
"6",6,31,0,0,8,5,18,1,0.429760665972945,31
"7",7,15,24,20,18,13,28,0.345015800057455,0.366848606722206,59
