"","clusterID","产业chǎn_yè","制造业zhì_cāo_yè","工业ɡōnɡ_yè","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,88,33,178,99,141,59,0.4532,0.3709,299
"2",2,175,1,25,78,110,13,0.7735,0.4543,201
