"","clusterID","报章bào_zhānɡ","报纸bào_zhǐ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,76,31,43,3,0.974363299038624,0.475459605329735,77
"2",2,51,14,3,8,54,0.662011834319527,0.707455621301775,65
"3",3,106,136,57,40,145,0.507683901372857,0.441807253602896,242
"4",4,24,36,12,10,38,0.52,0.468888888888889,60
"5",5,24,32,11,10,35,0.510204081632653,0.46109693877551,56
