"","clusterID","潜力qián_lì","潜能qián_nái","潜质qián_zhì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,74,5,0,2,69,8,0.2359,0.4432,79
"2",2,36,1,2,15,20,4,0.3202,0.9435,39
"3",3,22,7,1,8,13,9,0.6804,1.076,30
"4",4,66,56,38,31,37,92,1.0741,0.9748,160
"5",5,52,16,1,28,17,24,0.6134,1.0785,69
"6",6,98,23,2,18,72,33,0.5615,0.9477,123
