"","clusterID","货币huò_bì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,87,6,54,27,0,0.8436,87
"2",2,23,14,6,3,0,0.9184,23
"3",3,90,30,40,20,0,1.0609,90
"4",4,44,1,41,2,0,0.2923,44
"5",5,31,23,5,3,0,0.7417,31
"6",6,71,15,38,18,0,1.0109,71
"7",7,31,22,7,2,0,0.7562,31
"8",8,64,13,36,15,0,0.9874,64
"9",9,11,4,7,0,0,0.6555,11
"10",10,48,13,19,16,0,1.0868,48
