"","clusterID","成员chénɡ_yuán","队员duì_yuán","会员huì_yuán","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,3,91,0,7,73,14,0.9382,0.6308,94
"2",2,66,5,4,8,38,29,0.7817,0.4176,75
"3",3,52,12,48,25,33,54,0.4107,0.3691,112
"4",4,166,4,49,76,96,47,0.6249,0.3586,219
