"","clusterID","力量lì_liánɡ","势力shì_lì","影响力yǐng_xiǎnɡ_lì","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,100,40,64,58,62,84,0.3772,0.3428,204
"2",2,159,3,9,52,78,41,0.8677,0.358,171
"3",3,25,1,0,2,21,3,0.926,0.6716,26
"4",4,26,72,1,21,47,31,0.598,0.3684,99
