"","clusterID","损失sǔn_shī","损害sǔn_hài","危害wēi_hài","伤害shānɡ_hài","损伤sǔn_shānɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,17,1,0,0,0,6,4,8,0.2146,1.0609,18
"2",2,109,7,2,0,0,41,47,30,0.31,1.0821,118
"3",3,49,33,65,65,20,67,107,58,1.5301,1.0622,232
"4",4,59,21,11,36,5,47,61,24,1.3378,1.0344,132
