"","clusterID","人们rén_men","人士rén_shì","人类rén_lèi","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,11,42,8,21,15,25,0.52378392905133,0.346949744692287,61
"2",2,103,21,80,14,94,96,0.419309880815071,0.438485198000769,204
"3",3,0,23,0,10,11,2,1,0.425330812854442,23
"4",4,0,13,0,2,5,6,1,0.384615384615385,13
"5",5,1,130,0,70,39,22,0.984849367752462,0.402365829497116,131
"6",6,0,13,0,0,6,7,1,0.502958579881657,13
"7",7,1,54,0,11,28,16,0.964297520661157,0.383801652892562,55
