"","clusterID","指挥zhī_huī","领队lǐnɡ_duì","导演dǎo_yǎn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,155,0,0,54,83,18,0,0.9518,155
"2",2,0,115,0,4,10,101,0,0.4432,115
"3",3,0,2,138,64,9,67,0.0749,0.8869,140
"4",4,46,24,20,26,18,46,1.0297,1.0236,90
