"","clusterID","人们rén_men","人士rén_shì","人类rén_lèi","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,11,42,8,21,15,25,0.8323,1.0776,61
"2",2,103,21,80,14,94,96,0.9462,0.8956,204
"3",3,1,166,0,82,55,30,0.0366,1.0234,167
"4",4,1,67,0,11,34,23,0.0766,1.0079,68
