"","clusterID","货币huò_bì","财产cái_chǎn","财富cái_fù","资金zī_jīn","款项kuǎn_xiànɡ","金钱jīn_qián","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,56,0,0,0,0,0,14,28,14,0,1.0397,56
"2",2,18,0,0,0,0,0,4,9,5,0,1.0366,18
"3",3,15,2,6,132,0,0,68,62,25,0.5448,1.0223,155
"4",4,1,2,0,87,9,1,17,66,17,0.5082,0.8767,100
"5",5,11,45,20,43,29,23,59,52,60,1.6967,1.0966,171
