"","clusterID","住宅zhù_chè","住家zhù_ɡū","住房zhù_fánɡ","TW","SG","ML","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,20,0,6,15,0,0.1914,0.5983,21
"2",2,12,111,1,14,106,4,0.364,0.4911,124
"3",3,19,0,17,17,6,13,0.6916,1.0208,36
"4",4,43,0,76,7,22,90,0.6542,0.69,119
"5",5,21,1,0,1,19,2,0.1849,0.4851,22
"6",6,98,21,21,56,42,42,0.8188,1.0889,140
"7",7,24,0,14,2,5,31,0.6581,0.5879,38
