"","clusterID","体育bèn_yō","运动yǔn_dònɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,95,0,2,93,0,0,0.1021,95
"2",2,22,115,35,46,56,0.4406,1.0808,137
"3",3,194,74,57,160,51,0.5893,0.9529,268
