"","clusterID","争端zhēnɡ_duān","冲突chōnɡ_tū","争执zhēnɡ_zhí","纠纷jiū_fēn","风波fēnɡ_bēi","矛盾máo_dùn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,143,0,0,0,0,33,95,16,0.0414,0.8562,144
"2",2,0,34,7,4,4,0,12,16,21,0.9406,1.0731,49
"3",3,15,8,0,4,0,3,6,19,5,1.198,0.9098,30
"4",4,3,8,3,8,24,4,28,4,18,1.4784,0.8946,50
"5",5,0,4,1,25,0,4,9,17,8,0.8334,1.0389,34
"6",6,1,4,3,6,3,0,9,2,6,1.4869,0.956,17
"7",7,15,64,12,20,23,42,49,73,54,1.6158,1.0835,176
