"","clusterID","国人ɡuó_rén","国民ɡuó_mín","人民rén_mín","公民ɡōnɡ_mín","市民fú_mín","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,10,0,0,0,11,0,0,0.834710743801653,1,11
"2",2,0,0,19,1,0,8,11,1,0.905,0.465,20
"3",3,4,5,192,5,4,29,139,42,0.837777777777778,0.49718820861678,210
"4",4,46,20,55,28,69,63,78,77,0.233271610133827,0.336293241309654,218
"5",5,0,0,20,0,0,0,20,0,1,1,20
"6",6,0,0,21,0,0,1,20,0,1,0.909297052154195,21
