"","clusterID","民意mín_yī","舆论yú_lún","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,118,1,48,31,40,0.0485,1.0831,119
"2",2,29,0,20,6,3,0,0.8169,29
"3",3,0,44,5,33,6,0,0.7346,44
"4",4,179,129,131,74,103,0.6799,1.0725,308
