"","clusterID","食品shí_pǐn","食物shí_wù","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,192,15,47,108,52,0.26,1.0231,207
"2",2,36,0,9,19,8,0,1.0181,36
"3",3,58,6,27,19,18,0.3111,1.0814,64
"4",4,0,18,0,14,4,0,0.5297,18
"5",5,48,127,42,26,107,0.5875,0.9266,175
