"","clusterID","做法zuò_fǎ","办法bàn_fǎ","手段shǒu_duàn","措施cì_shī","方式fānɡ_shì","作法zuō_fǎ","方法fānɡ_fǎ","ML","SG","TW","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,1,1,61,4,0,0,53,15,0,0.4503,0.5277,68
"2",2,1,24,4,115,8,1,15,78,42,48,1.0481,1.0607,168
"3",3,0,0,2,0,28,0,0,4,12,14,0.2449,0.9908,30
"4",4,40,25,12,25,96,9,27,87,66,81,1.6722,1.0921,234
