"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"SumAbsDev"	"LargestDev"
"，"	4	0	19	0	0	0	0	0	1.403	0.882	5.371	0.876	1.022	2.057	4.45	6.939	1.316	-0.391	8.49	-0.388	-0.454	-0.936	-2.148	-3.587	17.71	"3"
"﹐"	0	0	0	0	0	3	0	3	0.366	0.23	1.401	0.229	0.267	0.537	1.161	1.81	-0.164	-0.102	-0.693	-0.101	-0.118	1.935	-0.56	0.587	4.26	"6"
"、"	0	0	0	12	17	33	86	99	15.067	9.476	57.677	9.408	10.976	22.089	47.791	74.516	-6.752	-4.197	-28.527	0.629	1.293	1.87	8.077	3.237	54.582	"3"
"﹔"	0	0	0	0	0	0	0	1	0.061	0.038	0.234	0.038	0.044	0.089	0.193	0.302	-0.027	-0.017	-0.115	-0.017	-0.02	-0.041	-0.093	0.52	0.85	"8"
":"	0	0	3	4	3	4	3	7	1.464	0.921	5.604	0.914	1.067	2.146	4.644	7.24	-0.656	-0.408	-0.812	1.916	1.052	0.79	-0.537	-0.254	6.425	"4"
"！"	0	0	1	0	0	0	0	0	0.061	0.038	0.234	0.038	0.044	0.089	0.193	0.302	-0.027	-0.017	0.632	-0.017	-0.02	-0.041	-0.093	-0.156	1.003	"3"
"`"	0	0	0	1	0	0	0	0	0.061	0.038	0.234	0.038	0.044	0.089	0.193	0.302	-0.027	-0.017	-0.115	1.419	-0.02	-0.041	-0.093	-0.156	1.888	"4"
"×"	0	3	0	0	0	0	0	0	0.183	0.115	0.701	0.114	0.133	0.268	0.58	0.905	-0.082	4.248	-0.346	-0.051	-0.059	-0.122	-0.28	-0.468	5.656	"2"
"0001"	0	0	1	0	0	0	0	0	0.061	0.038	0.234	0.038	0.044	0.089	0.193	0.302	-0.027	-0.017	0.632	-0.017	-0.02	-0.041	-0.093	-0.156	1.003	"3"
"10多"	0	0	1	0	0	0	0	0	0.061	0.038	0.234	0.038	0.044	0.089	0.193	0.302	-0.027	-0.017	0.632	-0.017	-0.02	-0.041	-0.093	-0.156	1.003	"3"
