"","clusterID","家族ɡū_còu","氏族jīnɡ_còu","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,47,0,28,2,17,1,0.487550928021729,47
"2",2,56,0,5,3,48,1,0.745535714285714,56
"3",3,14,0,1,0,13,1,0.86734693877551,14
"4",4,318,11,85,107,137,0.935366450790366,0.345922524736468,329
"5",5,31,0,7,5,19,1,0.452653485952133,31
"6",6,23,0,2,10,11,1,0.425330812854442,23
