"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"﹑"	3	0	0	1.043	0.4	1.557	1.376	-0.187	-0.953	2.516	"1"
";"	0	0	12	4.172	1.602	6.226	-2.227	-0.747	3.42	6.394	"3"
"."	0	0	4	1.391	0.534	2.075	-0.742	-0.249	1.14	2.131	"3"
"﹙"	0	1	0	0.348	0.133	0.519	-0.186	0.875	-0.318	1.379	"2"
"﹚"	0	1	0	0.348	0.133	0.519	-0.186	0.875	-0.318	1.379	"2"
"&amp;"	0	0	1	0.348	0.133	0.519	-0.186	-0.062	0.285	0.533	"3"
"%"	0	0	37	12.865	4.938	19.197	-6.865	-2.302	10.544	19.711	"3"
"%而"	0	0	1	0.348	0.133	0.519	-0.186	-0.062	0.285	0.533	"3"
"1"	0	0	8	2.782	1.068	4.151	-1.484	-0.498	2.28	4.262	"3"
"1.28"	0	0	1	0.348	0.133	0.519	-0.186	-0.062	0.285	0.533	"3"
"1.4"	0	0	1	0.348	0.133	0.519	-0.186	-0.062	0.285	0.533	"3"
"1.6"	0	0	1	0.348	0.133	0.519	-0.186	-0.062	0.285	0.533	"3"
"1.7"	0	0	1	0.348	0.133	0.519	-0.186	-0.062	0.285	0.533	"3"
"1%"	0	0	1	0.348	0.133	0.519	-0.186	-0.062	0.285	0.533	"3"
"11.4"	0	0	1	0.348	0.133	0.519	-0.186	-0.062	0.285	0.533	"3"
"1126亿"	0	0	1	0.348	0.133	0.519	-0.186	-0.062	0.285	0.533	"3"
"13％"	0	0	1	0.348	0.133	0.519	-0.186	-0.062	0.285	0.533	"3"
"141.49"	0	0	1	0.348	0.133	0.519	-0.186	-0.062	0.285	0.533	"3"
"1500万"	0	0	1	0.348	0.133	0.519	-0.186	-0.062	0.285	0.533	"3"
"16.19"	0	0	1	0.348	0.133	0.519	-0.186	-0.062	0.285	0.533	"3"
"16.2"	0	0	1	0.348	0.133	0.519	-0.186	-0.062	0.285	0.533	"3"
"19亿多"	0	0	1	0.348	0.133	0.519	-0.186	-0.062	0.285	0.533	"3"
"1万3000"	0	0	1	0.348	0.133	0.519	-0.186	-0.062	0.285	0.533	"3"
"2.5"	0	0	1	0.348	0.133	0.519	-0.186	-0.062	0.285	0.533	"3"
"2.7"	0	0	1	0.348	0.133	0.519	-0.186	-0.062	0.285	0.533	"3"
