"","clusterID","汽车ɡài_chē","车子chē_zǐ","车辆chē_liànɡ","机动车jī_dònɡ_chē","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,55,1,4,0,7,33,20,0.3285,0.9457,60
"2",2,113,0,0,0,23,67,23,0,0.9579,113
"3",3,46,8,5,0,6,32,21,0.6741,0.932,59
"4",4,16,0,0,0,0,10,6,0,0.6616,16
"5",5,80,6,39,5,20,69,41,0.9272,0.9881,130
"6",6,35,26,59,2,25,54,43,1.1064,1.0531,122
