"","clusterID","运动员yǔn_dònɡ_yuán","选手xuǎn_shǒu","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,65,48,24,74,15,0.6818,0.8743,113
"2",2,65,322,62,272,53,0.4526,0.8135,387
