"","clusterID","仪式yí_shì","典礼diǎn_lǐ","祭典jì_diǎn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,7,61,0,52,7,9,0.3315,0.7068,68
"2",2,40,7,0,15,1,31,0.4209,0.7209,47
"3",3,84,4,1,30,27,32,0.2444,1.0962,89
"4",4,197,98,1,119,136,41,0.6562,0.9975,296
