"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"－"	1	1	0	0.383	0.832	0.785	0.46	0.181	-0.433	1.074	"1"
"－－"	2	0	3	0.958	2.08	1.961	0.609	-1.168	0.517	2.294	"2"
"、"	0	13	0	2.492	5.408	5.1	-1.201	4.951	-2.812	8.964	"2"
"."	0	0	1	0.192	0.416	0.392	-0.092	-0.234	0.406	0.732	"3"
"1000多"	0	0	1	0.192	0.416	0.392	-0.092	-0.234	0.406	0.732	"3"
"100亿"	1	0	0	0.192	0.416	0.392	0.717	-0.234	-0.216	1.167	"1"
"101"	0	1	0	0.192	0.416	0.392	-0.092	0.381	-0.216	0.689	"2"
"120"	0	1	0	0.192	0.416	0.392	-0.092	0.381	-0.216	0.689	"2"
"125"	0	1	0	0.192	0.416	0.392	-0.092	0.381	-0.216	0.689	"2"
"13.5"	0	0	1	0.192	0.416	0.392	-0.092	-0.234	0.406	0.732	"3"
"138"	0	1	0	0.192	0.416	0.392	-0.092	0.381	-0.216	0.689	"2"
"1663"	1	0	0	0.192	0.416	0.392	0.717	-0.234	-0.216	1.167	"1"
"18.5"	1	0	0	0.192	0.416	0.392	0.717	-0.234	-0.216	1.167	"1"
"189"	0	1	0	0.192	0.416	0.392	-0.092	0.381	-0.216	0.689	"2"
"194"	0	1	0	0.192	0.416	0.392	-0.092	0.381	-0.216	0.689	"2"
"1973年"	0	1	0	0.192	0.416	0.392	-0.092	0.381	-0.216	0.689	"2"
"19日电"	1	0	0	0.192	0.416	0.392	0.717	-0.234	-0.216	1.167	"1"
"2000"	0	1	0	0.192	0.416	0.392	-0.092	0.381	-0.216	0.689	"2"
"2005年"	0	0	2	0.383	0.832	0.785	-0.185	-0.467	0.813	1.465	"3"
"2461"	0	0	1	0.192	0.416	0.392	-0.092	-0.234	0.406	0.732	"3"
"252"	0	0	1	0.192	0.416	0.392	-0.092	-0.234	0.406	0.732	"3"
"25日电"	1	0	1	0.383	0.832	0.785	0.46	-0.467	0.2	1.127	"2"
"29.38"	0	0	1	0.192	0.416	0.392	-0.092	-0.234	0.406	0.732	"3"
"3.8"	0	0	1	0.192	0.416	0.392	-0.092	-0.234	0.406	0.732	"3"
"3115"	0	0	1	0.192	0.416	0.392	-0.092	-0.234	0.406	0.732	"3"
"33973"	0	0	1	0.192	0.416	0.392	-0.092	-0.234	0.406	0.732	"3"
"38"	0	1	0	0.192	0.416	0.392	-0.092	0.381	-0.216	0.689	"2"
"4486"	0	0	1	0.192	0.416	0.392	-0.092	-0.234	0.406	0.732	"3"
"4亿"	1	0	0	0.192	0.416	0.392	0.717	-0.234	-0.216	1.167	"1"
"500多"	1	0	0	0.192	0.416	0.392	0.717	-0.234	-0.216	1.167	"1"
"5362"	1	0	0	0.192	0.416	0.392	0.717	-0.234	-0.216	1.167	"1"
"5600万"	0	1	0	0.192	0.416	0.392	-0.092	0.381	-0.216	0.689	"2"
"57亿"	1	0	0	0.192	0.416	0.392	0.717	-0.234	-0.216	1.167	"1"
"60多"	0	1	0	0.192	0.416	0.392	-0.092	0.381	-0.216	0.689	"2"
"638"	0	1	0	0.192	0.416	0.392	-0.092	0.381	-0.216	0.689	"2"
"65"	2	0	0	0.383	0.832	0.785	1.435	-0.467	-0.433	2.335	"1"
"650"	0	1	0	0.192	0.416	0.392	-0.092	0.381	-0.216	0.689	"2"
"653"	1	0	0	0.192	0.416	0.392	0.717	-0.234	-0.216	1.167	"1"
"6线"	0	0	1	0.192	0.416	0.392	-0.092	-0.234	0.406	0.732	"3"
"73.5"	1	0	0	0.192	0.416	0.392	0.717	-0.234	-0.216	1.167	"1"
"768"	0	0	1	0.192	0.416	0.392	-0.092	-0.234	0.406	0.732	"3"
"85"	0	1	0	0.192	0.416	0.392	-0.092	0.381	-0.216	0.689	"2"
"8733"	1	0	0	0.192	0.416	0.392	0.717	-0.234	-0.216	1.167	"1"
"891117"	0	0	1	0.192	0.416	0.392	-0.092	-0.234	0.406	0.732	"3"
"989"	0	1	0	0.192	0.416	0.392	-0.092	0.381	-0.216	0.689	"2"
