"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"SumAbsDev"	"LargestDev"
"278"	0	0	0	0	1	0	0	0	0	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	-0.077	-0.065	1.272	-0.042	-0.082	-0.018	-0.045	1.713	"5"
"28.1"	0	0	1	0	0	0	0	0	0	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	0.79	-0.065	-0.024	-0.042	-0.082	-0.018	-0.045	1.178	"3"
"288"	0	0	0	0	1	0	0	0	0	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	-0.077	-0.065	1.272	-0.042	-0.082	-0.018	-0.045	1.713	"5"
"28万"	0	0	0	0	0	0	2	0	0	0.274	0.209	0.324	0.28	0.107	0.185	0.344	0.08	0.197	-0.128	-0.096	-0.154	-0.131	-0.048	-0.084	1.529	-0.035	-0.09	2.295	"7"
"295"	0	0	1	0	0	0	0	0	0	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	0.79	-0.065	-0.024	-0.042	-0.082	-0.018	-0.045	1.178	"3"
"29日"	0	0	0	1	0	0	0	0	0	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	-0.077	0.854	-0.024	-0.042	-0.082	-0.018	-0.045	1.254	"4"
"300多"	0	0	1	0	0	0	0	0	0	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	0.79	-0.065	-0.024	-0.042	-0.082	-0.018	-0.045	1.178	"3"
"30来"	0	0	0	0	0	0	1	0	0	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	-0.077	-0.065	-0.024	-0.042	0.764	-0.018	-0.045	1.147	"7"
"3551"	0	0	2	0	0	0	0	0	0	0.274	0.209	0.324	0.28	0.107	0.185	0.344	0.08	0.197	-0.128	-0.096	1.58	-0.131	-0.048	-0.084	-0.164	-0.035	-0.09	2.356	"3"
"39"	0	0	1	0	0	0	0	0	0	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	0.79	-0.065	-0.024	-0.042	-0.082	-0.018	-0.045	1.178	"3"
"390"	0	0	0	0	0	0	0	0	1	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	-0.077	-0.065	-0.024	-0.042	-0.082	-0.018	1.006	1.426	"9"
"406"	0	0	0	0	0	1	0	0	0	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	-0.077	-0.065	-0.024	1.034	-0.082	-0.018	-0.045	1.457	"6"
"40多"	0	0	0	0	0	0	0	0	1	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	-0.077	-0.065	-0.024	-0.042	-0.082	-0.018	1.006	1.426	"9"
"4198"	0	0	0	0	0	1	0	0	0	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	-0.077	-0.065	-0.024	1.034	-0.082	-0.018	-0.045	1.457	"6"
"425"	0	0	0	0	0	1	0	0	0	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	-0.077	-0.065	-0.024	1.034	-0.082	-0.018	-0.045	1.457	"6"
"46万多"	0	0	1	0	0	0	0	0	0	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	0.79	-0.065	-0.024	-0.042	-0.082	-0.018	-0.045	1.178	"3"
"491万余"	0	0	0	0	1	0	0	0	0	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	-0.077	-0.065	1.272	-0.042	-0.082	-0.018	-0.045	1.713	"5"
"4万5332"	0	0	0	0	1	0	0	0	0	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	-0.077	-0.065	1.272	-0.042	-0.082	-0.018	-0.045	1.713	"5"
"574"	0	0	1	0	0	0	0	0	0	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	0.79	-0.065	-0.024	-0.042	-0.082	-0.018	-0.045	1.178	"3"
"5万多"	0	0	0	0	0	1	0	0	0	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	-0.077	-0.065	-0.024	1.034	-0.082	-0.018	-0.045	1.457	"6"
"5年"	0	0	0	1	0	0	0	0	0	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	-0.077	0.854	-0.024	-0.042	-0.082	-0.018	-0.045	1.254	"4"
"5日电"	0	0	0	0	0	2	0	0	0	0.274	0.209	0.324	0.28	0.107	0.185	0.344	0.08	0.197	-0.128	-0.096	-0.154	-0.131	-0.048	2.068	-0.164	-0.035	-0.09	2.914	"6"
"60多"	0	0	0	0	0	0	0	0	1	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	-0.077	-0.065	-0.024	-0.042	-0.082	-0.018	1.006	1.426	"9"
"7.28"	0	0	0	0	0	1	0	0	0	0.137	0.104	0.162	0.14	0.053	0.092	0.172	0.04	0.099	-0.064	-0.048	-0.077	-0.065	-0.024	1.034	-0.082	-0.018	-0.045	1.457	"6"
