"","clusterID","患者huàn_zhě","病人bìnɡ_rén","病患bìnɡ_huàn","病患者bìnɡ_huàn_zhě","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,35,44,7,0,3,65,18,0.9129,0.656,86
"2",2,33,47,13,3,16,29,51,1.0958,0.9963,96
"3",3,20,30,12,1,24,18,21,1.0992,1.0918,63
"4",4,19,7,3,0,10,17,2,0.8548,0.8646,29
"5",5,12,14,1,0,5,19,3,0.823,0.8037,27
"6",6,45,33,16,1,41,25,29,1.0692,1.0762,95
"7",7,3,15,0,0,5,9,4,0.4506,1.0366,18
"8",8,16,64,6,0,16,28,42,0.7185,1.0282,86
