"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"SumAbsDev"	"LargestDev"
"美军"	0	1	0	0	2	8	0	1.537	3.02	0.501	1.858	0.715	1.405	1.965	-0.719	-0.82	-0.223	-0.884	0.803	5.088	-0.94	9.477	"6"
"美国"	0	2	1	9	5	45	7	9.639	18.943	3.142	11.653	4.484	8.816	12.324	-4.509	-7.057	-0.764	-0.601	0.33	23.239	-1.238	37.738	"6"
"美国国"	0	0	0	0	0	1	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	-0.139	-0.02	-0.08	-0.029	0.894	-0.085	1.312	"6"
"美方"	0	0	0	0	0	2	0	0.279	0.549	0.091	0.338	0.13	0.256	0.357	-0.131	-0.279	-0.04	-0.161	-0.058	1.787	-0.171	2.627	"6"
"美联社"	0	0	0	0	1	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	-0.139	-0.02	-0.08	1.187	-0.059	-0.085	1.635	"5"
"美英"	0	0	0	1	0	4	0	0.698	1.373	0.228	0.844	0.325	0.639	0.893	-0.327	-0.697	-0.101	0.219	-0.146	2.922	-0.427	4.839	"6"
"考"	0	1	0	0	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	0.561	-0.02	-0.08	-0.029	-0.059	-0.085	0.899	"2"
"考察"	0	1	0	0	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	0.561	-0.02	-0.08	-0.029	-0.059	-0.085	0.899	"2"
"考核"	0	1	0	0	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	0.561	-0.02	-0.08	-0.029	-0.059	-0.085	0.899	"2"
"考绩"	0	1	0	1	0	0	0	0.279	0.549	0.091	0.338	0.13	0.256	0.357	-0.131	0.324	-0.04	0.51	-0.058	-0.119	-0.171	1.353	"4"
"考虑"	0	1	0	0	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	0.561	-0.02	-0.08	-0.029	-0.059	-0.085	0.899	"2"
