"","clusterID","时代shí_dài","时期shí_jī","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,22,0,4,3,15,0,0.8428,22
"2",2,102,99,53,85,63,0.693,1.0791,201
"3",3,0,18,0,17,1,0,0.2146,18
"4",4,23,32,12,35,8,0.6797,0.9002,55
"5",5,113,91,59,63,82,0.6873,1.088,204
