"","clusterID","国人ɡuó_rén","国民ɡuó_mín","人民rén_mín","公民ɡōnɡ_mín","市民fú_mín","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,10,0,0,0,11,0,0,0.3046,0,11
"2",2,0,0,19,1,0,8,11,1,0.1985,0.8451,20
"3",3,4,5,192,5,4,29,139,42,0.4108,0.8684,210
"4",4,46,20,55,28,69,63,78,77,1.5226,1.0941,218
"5",5,0,0,20,0,0,0,20,0,0,0,20
"6",6,0,0,21,0,0,1,20,0,0,0.1914,21
