"","clusterID","权益quán_yì","利润lì_rùn","股份ɡǔ_bīn","TW","SG","ML","variant_I","lect_I","TotalFreq"
"1",1,10,0,0,9,1,0,1,0.82,10
"2",2,126,2,1,94,5,30,0.95432966768824,0.58656330749354,129
"3",3,22,0,0,8,1,13,1,0.483471074380165,22
"4",4,50,0,0,5,2,43,1,0.7512,50
"5",5,0,0,47,10,3,34,1,0.572657311000453,47
"6",6,0,68,2,6,7,57,0.944489795918367,0.680408163265306,70
"7",7,3,7,61,25,23,23,0.749652846657409,0.333862328902995,71
"8",8,13,53,35,24,32,45,0.412018429565729,0.355357317910009,101
